user	action	timestamp
123545	0	01:09:50, 07/10
123545	41	01:09:51, 07/10
123545	0	01:10:47, 07/10
123545	31	01:10:54, 07/10
123545	0	01:11:15, 07/10
123545	0	01:29:12, 07/10
123545	30	01:29:18, 07/10
123545	31	01:29:22, 07/10
123545	21	01:29:26, 07/10
620464	0	13:16:23, 07/10
620464	0	13:18:28, 07/10
326674	0	19:46:25, 07/10
326674	41	19:46:39, 07/10
797750	0	22:09:00, 07/10
797750	41	22:09:06, 07/10
797750	40	22:09:07, 07/10
327374	0	03:31:34, 08/10
327374	31	03:31:45, 08/10
327374	11	03:31:46, 08/10
327374	21	03:31:48, 08/10
327374	41	03:31:48, 08/10
327374	51	03:31:50, 08/10
327374	0	03:32:02, 08/10
327374	0	03:32:21, 08/10
327374	10	03:32:26, 08/10
652350	0	08:07:10, 08/10
948140	0	08:27:20, 08/10
617489	0	11:01:51, 08/10
617489	11	11:01:55, 08/10
617489	10	11:01:56, 08/10
300035	0	11:02:41, 08/10
300035	11	11:02:44, 08/10
101207	0	11:12:15, 08/10
101207	21	11:12:28, 08/10
101207	31	11:12:36, 08/10
101207	51	11:12:37, 08/10
529363	0	11:16:35, 08/10
529363	41	11:16:45, 08/10
529363	51	11:16:56, 08/10
529363	31	11:17:01, 08/10
354204	0	11:48:52, 08/10
354204	0	11:50:23, 08/10
524283	0	11:50:39, 08/10
354204	0	11:51:46, 08/10
159997	0	11:59:25, 08/10
180118	0	12:08:48, 08/10
954019	0	12:09:07, 08/10
180118	0	12:09:14, 08/10
180118	11	12:09:17, 08/10
180118	10	12:09:17, 08/10
180118	21	12:09:19, 08/10
180118	20	12:09:19, 08/10
180118	11	12:09:24, 08/10
180118	31	12:09:29, 08/10
738624	0	12:19:59, 08/10
738624	41	12:20:07, 08/10
738624	40	12:20:10, 08/10
738624	41	12:20:12, 08/10
738624	0	12:20:21, 08/10
738624	0	12:20:28, 08/10
847325	0	12:20:52, 08/10
392665	0	12:26:00, 08/10
392665	41	12:26:08, 08/10
392665	40	12:26:10, 08/10
203366	0	12:26:11, 08/10
203366	31	12:26:14, 08/10
203366	21	12:26:18, 08/10
502235	0	12:31:54, 08/10
454310	0	12:32:07, 08/10
454310	51	12:32:24, 08/10
454310	31	12:32:55, 08/10
180118	0	12:33:54, 08/10
671887	0	12:57:59, 08/10
331233	0	13:05:22, 08/10
331233	11	13:05:24, 08/10
331233	21	13:05:25, 08/10
331233	20	13:05:26, 08/10
331233	10	13:05:27, 08/10
141467	0	13:26:44, 08/10
141467	11	13:26:45, 08/10
141467	21	13:26:46, 08/10
141467	31	13:26:47, 08/10
161907	0	13:37:42, 08/10
159997	0	13:38:24, 08/10
159997	31	13:38:32, 08/10
2654	0	13:47:44, 08/10
632585	0	14:45:31, 08/10
632585	31	14:45:38, 08/10
632585	30	14:45:39, 08/10
417525	0	15:10:43, 08/10
709399	0	15:14:26, 08/10
709399	0	15:14:41, 08/10
529363	0	16:36:37, 08/10
326669	0	17:05:21, 08/10
754396	0	17:07:15, 08/10
754396	41	17:07:22, 08/10
754396	51	17:07:25, 08/10
754396	31	17:07:26, 08/10
210797	0	17:11:53, 08/10
210797	41	17:12:03, 08/10
210797	51	17:12:06, 08/10
34497	0	17:29:39, 08/10
34497	31	17:29:47, 08/10
34497	51	17:29:51, 08/10
676278	0	20:07:40, 08/10
676278	11	20:07:44, 08/10
676278	10	20:07:44, 08/10
676278	21	20:07:45, 08/10
676278	31	20:07:47, 08/10
676278	41	20:07:50, 08/10
676278	40	20:08:02, 08/10
676278	51	20:08:13, 08/10
676278	30	20:08:17, 08/10
897869	0	20:13:23, 08/10
897869	0	20:13:31, 08/10
579299	0	00:59:15, 09/10
579299	11	00:59:17, 09/10
579299	10	00:59:17, 09/10
579299	21	00:59:18, 09/10
579299	31	00:59:18, 09/10
579299	41	00:59:19, 09/10
579299	51	00:59:20, 09/10
579299	50	00:59:20, 09/10
579299	40	00:59:21, 09/10
579299	30	00:59:22, 09/10
579299	20	00:59:22, 09/10
579299	11	00:59:23, 09/10
579299	0	00:59:32, 09/10
579299	31	00:59:33, 09/10
640519	0	01:08:29, 09/10
640519	0	01:08:46, 09/10
640519	31	01:09:17, 09/10
640519	30	01:09:20, 09/10
859294	0	07:29:01, 09/10
859294	51	07:29:13, 09/10
859294	50	07:29:15, 09/10
859294	0	07:29:39, 09/10
50318	0	08:57:07, 09/10
756713	0	10:23:56, 09/10
756713	21	10:23:58, 09/10
756713	20	10:24:05, 09/10
756713	31	10:24:06, 09/10
354204	51	10:53:13, 09/10
354204	0	10:53:32, 09/10
354204	0	10:53:53, 09/10
642206	0	16:34:52, 09/10
642206	41	16:35:13, 09/10
642206	40	16:35:15, 09/10
642206	41	16:35:16, 09/10
642206	31	16:35:27, 09/10
642206	30	16:35:27, 09/10
642206	31	16:35:29, 09/10
369042	0	17:29:10, 09/10
690069	0	08:18:36, 10/10
690069	41	08:18:47, 10/10
690069	40	08:18:48, 10/10
522066	0	13:23:41, 10/10
522066	31	13:23:43, 10/10
522066	30	13:23:45, 10/10
658544	0	18:25:51, 10/10
658544	21	18:26:17, 10/10
658544	31	18:26:21, 10/10
658544	51	18:26:34, 10/10
689472	0	22:34:10, 10/10
689472	31	22:34:16, 10/10
689472	30	22:34:18, 10/10
664251	0	05:36:27, 12/10
473849	0	14:26:02, 18/10
473849	0	14:26:11, 18/10
543011	0	21:29:17, 23/10
333369	0	20:22:43, 03/11
770273	0	14:42:39, 30/11
31732	0	14:51:05, 30/11
620464	0	16:58:48, 27/01
